Place Name,State,District,City,img_source,Link,dominant_topic,probability
Nuranang Falls,Arunachal Pradesh,Tawang District,Tawang,https://media-cdn.tripadvisor.com/media/photo-s/01/60/5c/22/nuranang-fall-arunachal.jpg,https://www.tripadvisor.in/Attraction_Review-g858483-d1632959-Reviews-Nuranang_Falls-Tawang_Tawang_District_Arunachal_Pradesh.html,Mountains/Landscapes/Waterfalls,0.99
Sela Pass,Arunachal Pradesh,,Tawang,https://media-cdn.tripadvisor.com/media/photo-s/02/75/5e/4a/filename-dsc01341-jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g858483-d1307664-Reviews-Sela_Pass-Tawang_Tawang_District_Arunachal_Pradesh.html,Mountains/Landscapes/Waterfalls,0.98
Madhuri Lake,Arunachal Pradesh,,Tawang,https://media-cdn.tripadvisor.com/media/photo-s/02/6d/d0/9a/filename-dscn4792-jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g858483-d2538340-Reviews-Madhuri_Lake-Tawang_Tawang_District_Arunachal_Pradesh.html,Mountains/Landscapes/Waterfalls,0.82
Bumla Pass,Arunachal Pradesh,,Tawang,https://media-cdn.tripadvisor.com/media/photo-s/02/c2/2b/f7/bumla-pass.jpg,https://www.tripadvisor.in/Attraction_Review-g858483-d3403825-Reviews-Bumla_Pass-Tawang_Tawang_District_Arunachal_Pradesh.html,Mountains/Landscapes/Waterfalls,0.84
Gangaikonda Cholapuram,Tamil Nadu,Thanjavur District,Thanjavur,https://media-cdn.tripadvisor.com/media/photo-s/0e/c4/71/4c/photo1jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g424926-d2648907-Reviews-Gangaikonda_Cholapuram-Thanjavur_Thanjavur_District_Tamil_Nadu.html,Monuments/Historical Architectures/Spiritual Attractions,0.85
Airavatesvara Temple,Tamil Nadu,Thanjavur District,Kumbakonam,https://media-cdn.tripadvisor.com/media/photo-s/03/1a/b5/9a/darasuram-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g790279-d2711328-Reviews-Airavatesvara_Temple-Kumbakonam_Thanjavur_District_Tamil_Nadu.html,Monuments/Historical Architectures/Spiritual Attractions,0.88
Brihadeeswara Temple,Tamil Nadu,,Thanjavur,https://media-cdn.tripadvisor.com/media/photo-s/0e/96/41/39/il-tempio-principale.jpg,https://www.tripadvisor.in/Attraction_Review-g424926-d1837966-Reviews-Brihadeeswara_Temple-Thanjavur_Thanjavur_District_Tamil_Nadu.html,Monuments/Historical Architectures/Spiritual Attractions,0.81
Kodanad View Point,Tamil Nadu,The Nilgiris District,Kotagiri,https://media-cdn.tripadvisor.com/media/photo-s/03/99/54/c8/kodanad-view-point.jpg,https://www.tripadvisor.in/Attraction_Review-g1162479-d2734306-Reviews-Kodanad_View_Point-Kotagiri_The_Nilgiris_District_Tamil_Nadu.html,Mountains/Landscapes/Waterfalls,0.87
Upper Bhavani Lake,Tamil Nadu,The Nilgiris District,Ooty,https://media-cdn.tripadvisor.com/media/photo-s/03/53/6b/99/upper-bhavani-lake.jpg,https://www.tripadvisor.in/Attraction_Review-g297679-d3243945-Reviews-Upper_Bhavani_Lake-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Mountains/Landscapes/Waterfalls,0.88
The Rock Garden of Chandigarh,Chandigarh,Chandigarh District,Chandigarh,https://media-cdn.tripadvisor.com/media/photo-s/01/e4/63/90/some-sculptors-at-rock.jpg,https://www.tripadvisor.in/Attraction_Review-g297596-d1575668-Reviews-The_Rock_Garden_of_Chandigarh-Chandigarh.html,Gardens/City Parks,0.4
Green Park Ayurvedic & Spices Plantation,Kerala,,Thekkady,https://media-cdn.tripadvisor.com/media/photo-s/0d/c5/a7/4e/car-parking.jpg,https://www.tripadvisor.in/Attraction_Review-g297636-d6949118-Reviews-Green_Park_Ayurvedic_Spices_Plantation-Thekkady_Idukki_District_Kerala.html,Wildlife/Forests/National Parks,0.71
